content_id,content_url
-6451309518266745024,http://www.nytimes.com/2016/03/28/business/dealbook/ethereum-a-virtual-currency-enables-transactions-that-rival-bitcoins.html                                                                           
-4110354420726924665,http://www.nytimes.com/2016/03/28/business/dealbook/ethereum-a-virtual-currency-enables-transactions-that-rival-bitcoins.html                                                                           
-7292285110016212249,http://cointelegraph.com/news/bitcoin-future-when-gbpcoin-of-branson-wins-over-usdcoin-of-trump                                                                                                         
-6151852268067518688,https://cloudplatform.googleblog.com/2016/03/Google-Data-Center-360-Tour.html                                                                                                                           
2448026894306402386,https://bitcoinmagazine.com/articles/ibm-wants-to-evolve-the-internet-with-blockchain-technology-1459189322                                                                                             
-2826566343807132236,http://www.coindesk.com/ieee-blockchain-oxford-cloud-computing/                                                                                                                                         
-2148899391355011268,http://www.newsbtc.com/2016/03/28/banks-need-collaborate-bitcoin-fintech-developers/                                                                                                                    
4119190424078847945,https://bitcoinmagazine.com/articles/blockchain-technology-could-put-bank-auditors-out-of-work-1459179559                                                                                               
-7926018713416777892,https://news.bitcoin.com/conglomerates-interview-openledger-ceo/                                                                                                                                        
3353902017498793780,https://www.cryptocoinsnews.com/ethereum-rise-growth-new-york-times/                                                                                                                                    
-9157338616628196758,http://economia.ig.com.br/2016-03-27/situacao-financeira-ruim-de-varejistas-pressiona-shoppings-e-eleva-renegociacoes.html                                                                              
1805789466376069146,https://cloud.google.com/compute/docs/load-balancing/http/                                                                                                                                              
-2081760549863309770,https://cloud.google.com/compute/docs/load-balancing/tcp-ssl/                                                                                                                                           
-5170198873410718233,http://techcrunch.com/2016/03/28/ntt-to-buy-dells-services-division-for-3-05-billion/                                                                                                                   
-3367778232969996503,http://www.salon.com/2016/03/27/good_riddance_gig_economy_uber_ayn_rand_and_the_awesome_collapse_of_silicon_valleys_dream_of_destroying_your_job/                                                       
4988225165850707692,http://cio.economictimes.indiatimes.com/news/internet-of-things/the-internet-of-a-billion-things/48745439                                                                                               
-5917314377186856799,http://www.senar.org.br/agricultura-precisao/artigos-e-palestras/                                                                                                                                       
6157037646878010131,https://www.macroprograma1.cnptia.embrapa.br/redeap2                                                                                                                                                    
6023609667389715259,https://blog.coinfund.io/five-bitcoin-and-ethereum-based-projects-to-watch-in-2016-664f3a20fa3f?gi=fdcb7d02236c                                                                                         
7905485530310717815,http://www.coindesk.com/blockchain-smart-contracts-bnp-paribas/                                                                                                                                         
8194079557551008273,http://bitcoinist.net/using-gamified-hacking-challenges-to-attract-new-blockchain-developers/                                                                                                           
-1672166631728511207,https://www.coinbr.net/blog/america-latina-apresenta-forte-potencial-para-o-bitcoin/                                                                                                                    
-4374331682165863764,http://www.bbc.com/news/business-35890616                                                                                                                                                               
5714314286511882372,https://www.sympla.com.br/como-startups-e-grandes-empresas-podem-colaborar-para-inovar-mais-e-melhor__60973                                                                                             
-8141818108252244664,https://www.sympla.com.br/pimp-my-pitch-como-fazer-um-pitch-poderoso__60657                                                                                                                             
-8939172344092554931,http://kotaku.com/google-deepmind-is-now-analysing-magic-and-hearthstone-1767628685                                                                                                                     
-1591454024897803197,http://recruitingdaily.com/how-okcupid-changed-hiring-forever/                                                                                                                                          
-6874540813378776198,https://medium.com/greylock-perspectives/the-hierarchy-of-engagement-5803bf4e6cfa                                                                                                                       
-3173020603774823976,https://nodejs.org/en/blog/announcements/welcome-google/                                                                                                                                                
