author_id,content_id
4340306774493623681,-6451309518266745024
4340306774493623681,-4110354420726924665
4340306774493623681,-7292285110016212249
3891637997717104548,-6151852268067518688
4340306774493623681,2448026894306402386
4340306774493623681,-2826566343807132236
4340306774493623681,-2148899391355011268
4340306774493623681,4119190424078847945
4340306774493623681,-7926018713416777892
4340306774493623681,3353902017498793780
5206835909720479405,-9157338616628196758
-1032019229384696495,1805789466376069146
-1032019229384696495,-2081760549863309770
-1032019229384696495,-5170198873410718233
-1032019229384696495,-3367778232969996503
4670267857749552625,4988225165850707692
4670267857749552625,-5917314377186856799
4670267857749552625,6157037646878010131
4340306774493623681,6023609667389715259
4340306774493623681,7905485530310717815
4340306774493623681,8194079557551008273
4340306774493623681,-1672166631728511207
4340306774493623681,-4374331682165863764
1895326251577378793,5714314286511882372
1895326251577378793,-8141818108252244664
-1443636648652872475,-8939172344092554931
-8606085472606356565,-1591454024897803197
-108842214936804958,-6874540813378776198
-1032019229384696495,-3173020603774823976
-1032019229384696495,-9107331682787867601
4670267857749552625,-1021685224930603833
4340306774493623681,1392715980907132808
4340306774493623681,-6142462826726347616
4340306774493623681,2255603060224026824
4340306774493623681,3037840448416371691
-1032019229384696495,7767869406844505704
-1387464358334758758,-7202774608580336956
-5527145562136413747,5822211783543822544
-3390049372067052505,6152652267138213180
2416280733544962613,9032993320407723266
-7421703586506797266,7520301770873472812
-1443636648652872475,-5715266554592745669
-1443636648652872475,8545647269051113523
-1443636648652872475,668505019835540303
-1443636648652872475,-6727393385193911938
-1443636648652872475,7351002593233940239
-1443636648652872475,1083474613819325601
-1443636648652872475,-4994468824009200256
-1032019229384696495,-4571929941432664145
4340306774493623681,5441215535748592870
4340306774493623681,7359520440231676934
1895326251577378793,4774970687540378081
-8020832670974472349,6102826385978742696
8414731042150985013,809601605585939618
-1032019229384696495,8742078838645536785
-1443636648652872475,-1802980374508081539
-709287718034731589,-6195775145989617417
-709287718034731589,-2176468683077766369
-8845298781299428018,7973573994178035769
-709287718034731589,-1590585250246572231
4670267857749552625,-4662020648308370136
-1443636648652872475,-4110991218639855802
3891637997717104548,1964631817676172382
2416280733544962613,5156657166068502754
3891637997717104548,-4102297002729307038
-1032019229384696495,2093656054622337275
-1032019229384696495,9122627895188486603
-9016528795238256703,1933229167501870037
3891637997717104548,7528802258213768379
3891637997717104548,8078873160882064481
3891637997717104548,-9083294960368598209
3891637997717104548,-6136272094613269629
3891637997717104548,787067277772219433
4340306774493623681,-2778760500673113802
4340306774493623681,-6725796505137573953
4340306774493623681,1457728991321948254
4340306774493623681,-7101541512657907485
-1578287561410088674,5281570276277574938
-1443636648652872475,1128840733277618400
-1443636648652872475,-7356135999773525293
3891637997717104548,2313825045587317872
3891637997717104548,-518690781085251687
4340306774493623681,3067875254349597654
3891637997717104548,5619251370090681244
-1443636648652872475,7420742904084384944
-1443636648652872475,8219310215587599928
-1443636648652872475,7748594134538052724
3609194402293569455,-4186591400427142356
3891637997717104548,8565115980515859979
-7531858294361854119,8082202054464515448
4670267857749552625,-5973686110278905367
