user_id_,user_geo_origin
7022645187549453002,RJ                                                
-2626634673110551643,GA                                                
-2339455719722814827,CA                                                
8766802480854827422,NJ                                                
3636910968448833585,TX                                                
-8389868196569319547,MH                                                
-1032019229384696495,D                                                 
-7496361692498935601,PA                                                
7640646622715356888,VA                                                
-3687079152644990551,AZ                                                
-4627026983118548639,IL                                                
-3808141682397656195,MI                                                
4670267857749552625,FL                                                
5220802546024427652,ES                                                
2062670502532932588,BW                                                
-1443636648652872475,PR                                                
-1578287561410088674,BC                                                
8968131284214320024,NSW                                               
-867171338823652769,DF                                                
-3203894957285229214,ON                                                
-7377845572432324217,MS                                                
2416280733544962613,DC                                                
7857964154553078459,NE                                                
-2987910693129502800,NC                                                
1493119272824026132,CO                                                
-8672331451814079632,ENG                                               
534764222466712491,GO                                                
-5868110530814399805,IN                                                
-7701472666189863533,CT                                                
-887301601153643466,PE                                                
-8853658195208337106,RS                                                
7733918951272853713,NH                                                
-7611460419696903236,SC                                                
2944202749145946530,BA                                                
-8860671864164757449,RM                                                
-1367575386492755119,CE                                                
-7148295538010878187,RI                                                
-7909814890969546668,R                                                 
-6527231059484292598,BOL                                               
5660542693104786364,NV                                                
-299809122140089170,OR                                                
-3107690258526146180,ZH                                                
-5527145562136413747,MT                                                
5030175185311671155,PI                                                
-8388706028506253757,CL                                                
-1032020000000000000,NY                                                
-8763400000000000000,MG                                                
1908340000000000000,SP                                                
344281000000000000,None
3609190000000000000,None
-1387460000000000000,None
